game_title,release_year,represent_me_url,representation_tags,review_reason
Boys Love,2018,https://representme.charity/projects/queer/database/title/boys-love,Gay,no_explicit_named_character_pattern
Brassica: A Marry Tale,2018,https://representme.charity/projects/queer/database/title/brassica-a-marry-tale,Gay; Lesbian; Bisexual / plurisexual,no_explicit_named_character_pattern
Break Chance Memento,2016,https://representme.charity/projects/queer/database/title/break-chance-memento,Gay,no_explicit_named_character_pattern
Brilliant Shadows: Part One of the Book of Gray Magic,2015,https://representme.charity/projects/queer/database/title/brilliant-shadows,Lesbian,no_explicit_named_character_pattern
Britney Spears: American Dream,2016,https://representme.charity/projects/queer/database/title/britney-spears,Playersexual; Polyamory,no_explicit_named_character_pattern
Broken Folx,2015,https://representme.charity/projects/queer/database/title/broken-folx,Other,no_explicit_named_character_pattern
Broken Sword: The Angel of Death,2010,https://representme.charity/projects/queer/database/title/broken-sword,Gay,no_explicit_named_character_pattern
Buffy the Vampire Slayer,2000 - 2003,https://representme.charity/projects/queer/database/title/buffy-the-vampire-slayer,Lesbian,no_explicit_named_character_pattern
Bully,2006,https://representme.charity/projects/queer/database/title/bully,Playersexual; Gay,no_explicit_named_character_pattern
Bunnies and Burrows,1976,https://representme.charity/projects/queer/database/title/bunnies-and-burrows,Gay,no_explicit_named_character_pattern
Bust-a-Groove 2,1999,https://representme.charity/projects/queer/database/title/bust-a-groove-2,Gay,no_explicit_named_character_pattern
Bye Sex,2016,https://representme.charity/projects/queer/database/title/bye-sex,Other,no_explicit_named_character_pattern
C14 Dating,2016,https://representme.charity/projects/queer/database/title/c14-dating,Playersexual; Asexual / aromantic,no_explicit_named_character_pattern
Cafe Bouvardie,2019,https://representme.charity/projects/queer/database/title/cafe-bouvardie,Lesbian,no_explicit_named_character_pattern
Café Romantica,2017,https://representme.charity/projects/queer/database/title/cafe-romantica,Cross-dressing; Nonbinary / non-conforming; Polyamory,no_explicit_named_character_pattern
Cahors Sunset,2015,https://representme.charity/projects/queer/database/title/cahors-sunset,Lesbian,no_explicit_named_character_pattern
