character_id,character_name,game_title,release_year,developer,publisher,game_scale,genre,narrative_role,playable_status,gender,sexuality,identity_category,identity_confirmation,queer_status,intersectionality_present,intersectionality_details,evidence_source,notes,character_image,image_credit,image_source_url,source_language,discovery_source,research_status,evidence_confidence,platform_version,last_reviewed,content_availability
399,Fei Wong Tomoe Ignacio,Digimon Story: Cyber Sleuth: Hacker's Memory,2017,Media.Vision,Bandai Namco,,RPG,unknown,unknown,woman,lesbian,sexual_orientation,external_source,confirmed,,,https://representme.charity/projects/queer/database/title/digimon-story-cyber-sleuth-hacker-s-memory,Represent Me explicitly associates Fei Wong Tomoe Ignacio with lesbian in its entry for Digimon Story: Cyber Sleuth: Hacker's Memory. Imported by a high-precision text pattern and queued for curator review.,,,,en,Represent Me,needs_verification,medium,"PlayStation 4, PlayStation Vita",2026-08-26,not_recorded
400,Yu Nogi,Digimon Story: Cyber Sleuth: Hacker's Memory,2017,Media.Vision,Bandai Namco,,RPG,protagonist,unknown,man,gay,sexual_orientation,external_source,confirmed,,,https://representme.charity/projects/queer/database/title/digimon-story-cyber-sleuth-hacker-s-memory,Represent Me explicitly associates Yu Nogi with gay in its entry for Digimon Story: Cyber Sleuth: Hacker's Memory. Imported by a high-precision text pattern and queued for curator review.,,,,en,Represent Me,needs_verification,medium,"PlayStation 4, PlayStation Vita",2026-08-26,not_recorded
401,Hiro,Dimensions VS,2018,TeePee Studios,TeePee Studios,,Action,protagonist,unknown,not_recorded,gay,sexual_orientation,external_source,confirmed,,,https://representme.charity/projects/queer/database/title/dimensions-vs,Represent Me explicitly associates Hiro with gay in its entry for Dimensions VS. Imported by a high-precision text pattern and queued for curator review.,,,,en,Represent Me,needs_verification,medium,PC,2026-08-26,not_recorded
402,Mindy Blanchard,Dishonored 2,2016,Arkane Studios,Bethesda Softworks,,Action,unknown,unknown,trans_woman,not_recorded,gender_identity,external_source; developer_confirmed,confirmed,,,https://representme.charity/projects/queer/database/title/dishonored-2,Represent Me explicitly associates Mindy Blanchard with trans woman in its entry for Dishonored 2. Imported by a high-precision text pattern and queued for curator review.,,,,en,Represent Me,needs_verification,medium,"PC, PlayStation 4, Xbox One",2026-08-26,not_recorded
403,Bill,Doctor Who Infinity,2018,Tiny Rebel Games,Tiny Rebel Games,,Casual,unknown,unknown,not_recorded,lesbian,sexual_orientation,external_source,confirmed,,,https://representme.charity/projects/queer/database/title/doctor-who-infinity,Represent Me explicitly associates Bill with lesbian in its entry for Doctor Who Infinity. Imported by a high-precision text pattern and queued for curator review.,,,,en,Represent Me,needs_verification,medium,PC,2026-08-26,not_recorded
404,Missy,Doctor Who Infinity,2018,Tiny Rebel Games,Tiny Rebel Games,,Casual,protagonist,unknown,not_recorded,not_recorded,gender_expression,ambiguous,ambiguous,,,https://representme.charity/projects/queer/database/title/doctor-who-infinity,"Represent Me discusses Missy in connection with trans coding, but its wording is interpretive or uncertain. Imported as ambiguous and queued for curator review.",,,,en,Represent Me,needs_verification,low,PC,2026-08-26,not_recorded
405,Glen,DoraKone,2018,Apple Cider,Apple Cider,,Visual novel,unknown,unknown,man,gay,sexual_orientation,external_source,confirmed,,,https://representme.charity/projects/queer/database/title/dorakone,Represent Me explicitly associates Glen with gay in its entry for DoraKone. Imported by a high-precision text pattern and queued for curator review.,,,,en,Represent Me,needs_verification,medium,PC,2026-08-26,not_recorded
406,Brin,DoraKone,2018,Apple Cider,Apple Cider,,Visual novel,supporting_character,unknown,not_recorded,lesbian,sexual_orientation,external_source,confirmed,,,https://representme.charity/projects/queer/database/title/dorakone,Represent Me explicitly associates Brin with lesbian in its entry for DoraKone. Imported by a high-precision text pattern and queued for curator review.,,,,en,Represent Me,needs_verification,medium,PC,2026-08-26,not_recorded
407,Honoree,DoraKone,2018,Apple Cider,Apple Cider,,Visual novel,supporting_character,unknown,not_recorded,lesbian,sexual_orientation,external_source,confirmed,,,https://representme.charity/projects/queer/database/title/dorakone,Represent Me explicitly associates Honoree with lesbian in its entry for DoraKone. Imported by a high-precision text pattern and queued for curator review.,,,,en,Represent Me,needs_verification,medium,PC,2026-08-26,not_recorded
408,Rayen,DoraKone,2018,Apple Cider,Apple Cider,,Visual novel,supporting_character,unknown,not_recorded,lesbian,sexual_orientation,external_source,confirmed,,,https://representme.charity/projects/queer/database/title/dorakone,Represent Me explicitly associates Rayen with lesbian in its entry for DoraKone. Imported by a high-precision text pattern and queued for curator review.,,,,en,Represent Me,needs_verification,medium,PC,2026-08-26,not_recorded
409,The Guardian,Firstborn,,Elston Studios,Not yet released,,RPG,protagonist,unknown,not_recorded,pansexual,sexual_orientation,external_source,confirmed,,,https://representme.charity/projects/queer/database/title/firstborn,Represent Me explicitly associates The Guardian with pansexual in its entry for Firstborn. Imported by a high-precision text pattern and queued for curator review.,,,,en,Represent Me,needs_verification,medium,Not yet released,2026-08-26,not_recorded
410,Alex,Fran and the Demon Hunter,2019,TangledVirus,TangledVirus,,Visual novel,unknown,unknown,not_recorded,lesbian,sexual_orientation,external_source,confirmed,,,https://representme.charity/projects/queer/database/title/fran-and-the-demon-hunter,Represent Me explicitly associates Alex with lesbian in its entry for Fran and the Demon Hunter. Imported by a high-precision text pattern and queued for curator review.,,,,en,Represent Me,needs_verification,medium,PC (free or donation),2026-08-26,not_recorded
411,Nomade,Nomade the Demon Hunter,2020,TangledVirus,TangledVirus,,Visual novel,unknown,unknown,not_recorded,pansexual,sexual_orientation,external_source,confirmed,,,https://representme.charity/projects/queer/database/title/fran-and-the-demon-hunter,Represent Me explicitly associates Nomade with pansexual in its entry for Fran and the Demon Hunter. Imported by a high-precision text pattern and queued for curator review.,,,,en,Represent Me,needs_verification,medium,PC (free or donation),2026-08-26,not_recorded
412,Chorus,Frogsong,,,,,Adventure,protagonist,unknown,non_binary,not_recorded,gender_identity,external_source,confirmed,,,https://representme.charity/projects/queer/database/title/frogsong,Represent Me explicitly associates Chorus with nonbinary in its entry for Frogsong. Imported by a high-precision text pattern and queued for curator review.,,,,en,Represent Me,needs_verification,medium,PC,2026-08-26,not_recorded
413,Riley,Furistas Cat Cafe,2019,Runaway,Runaway,,Simulation,unknown,unknown,non_binary,not_recorded,gender_identity,external_source,confirmed,,,https://representme.charity/projects/queer/database/title/furistas-cat-cafe,Represent Me explicitly associates Riley with nonbinary in its entry for Furistas Cat Cafe. Imported by a high-precision text pattern and queued for curator review.,,,,en,Represent Me,needs_verification,medium,PC,2026-08-26,not_recorded
414,Endrance,.hack//Link,2010,CyberConnect2,Bandai Namco,,RPG,unknown,unknown,not_recorded,bisexual,sexual_orientation,ambiguous,ambiguous,,,https://representme.charity/projects/queer/database/title/hack-link,"Represent Me discusses Endrance in connection with bisexual, but its wording is interpretive or uncertain. Imported as ambiguous and queued for curator review.",,,,en,Represent Me,needs_verification,low,PlayStation Portable,2026-08-26,not_recorded
415,Robert,Herald: An Interactive Period Drama,2017,Wispfire,Wispfire,,Adventure,unknown,unknown,man,gay,sexual_orientation,external_source,confirmed,,,https://representme.charity/projects/queer/database/title/herald-an-interactive-period-drama,Represent Me explicitly associates Robert with gay in its entry for Herald: An Interactive Period Drama. Imported by a high-precision text pattern and queued for curator review.,,,,en,Represent Me,needs_verification,medium,PC,2026-08-26,not_recorded
