reason,reference_label,parent_game_titles,parent_release_years,reference_page_title,category_names,reference_url
group_or_non_character_subject,Non-Byleth Pairings,Fire Emblem: Thracia 776; Fire Emblem: Rekka no Ken; Fire Emblem: Sacred Stones; Fire Emblem: Path of Radiance; Fire Emblem: Radiant Dawn; Fire Emblem: Awakening; Fire Emblem Fates; Fire Emblem Echoes: Shadows of Valentia; Fire Emblem Heroes; Fire Emblem: Three Houses; Fire Emblem Three Houses: Cindered Shadows,1999; 2003; 2004; 2005; 2007; 2012; 2015; 2017; 2017; 2019; 2020,Non-Byleth Pairings in Fire Emblem: Three Houses,2010s; 2020s; Add on content; Asexual; Asexual (Implicit); Bisexual; Bisexual (explicit); Bisexual (implicit); Changed in localization; Characters; Games by Decade; Mentions; Mentions (explicit); Optional Relationship; Playable Character; Queer Men; Queer Women; Relationships/Romance/Sex,https://lgbtqgamearchive.com/?p=12285
evidence_registered_in_other_unit,Morpheus Duvall,Resident Evil Code: Veronica; Resident Evil: Dead Aim; Resident Evil: Operation Raccon City,2000; 2003; 2012,Morpheus Duvall in Resident Evil: Dead Aim,2000s; Gender non-conforming; Transgender; Transgender (implicit); Transphobia,https://lgbtqgamearchive.com/2015/09/03/morpheus-duvall-in-resident-evil-dead-aim
no_explicit_or_implicit_identity_category,Blanca,Animal Crossing; Animal Crossing: Wild World; Animal Crossing; Animal Crossing: New Horizons,2001; 2005; 2012; 2020,Blanca in Animal Crossing,2000s; Changed in localization; Characters; Games by Decade; Gender non-conforming,https://lgbtqgamearchive.com/?p=12075
group_or_non_character_subject,The Divas,Runaway: A Road Adventure,2001,The Divas in Runaway: A Road Adventure,2000s; Characters; Gay; Gay (explicit); Gender non-conforming; Queer Men,https://lgbtqgamearchive.com/2016/09/26/the-divas-in-runaway-a-road-adventure
no_explicit_or_implicit_identity_category,Sex Workers,Divine Divinity; Divine Divinity: Dragon Commander; Divine Divinity: Original Sin,2002; 2013; 2014,Sex Workers in Divine Divinity,2000s; Relationships/Romance/Sex; Sex Workers and Bisexuality,https://lgbtqgamearchive.com/2015/11/23/sex-workers-in-divine-divinity
no_explicit_or_implicit_identity_category,Sex Workers (/“Sex” “Workers”),Divine Divinity; Divine Divinity: Dragon Commander; Divine Divinity: Original Sin,2002; 2013; 2014,Sex Workers (/”Sex” “Workers”) in Divine: Original Sin,2010s; Relationships/Romance/Sex; Sex Workers and Bisexuality,https://lgbtqgamearchive.com/2015/11/23/sex-workers-sex-workers-in-divine-original-sin
group_or_non_character_subject,The Star Crossed Lovers,Divine Divinity; Divine Divinity: Dragon Commander; Divine Divinity: Original Sin,2002; 2013; 2014,The Star Crossed Lovers in Divine: Original Sin,2010s; Characters; Gay; Gay (explicit); Homophobia; Homophobia/Transphobia; Queer Men,https://lgbtqgamearchive.com/2015/11/23/the-star-crossed-lovers-in-divine-original-sin
group_or_non_character_subject,Gay and lesbian characters,Singles: Flirt Up Your Life,2003,Gay and Lesbian Characters in Singles: Flirt Up Your Life,Bisexual; Bisexual (implicit); Characters; Gay; Gay (explicit); Lesbian; Lesbian (explicit); Playable Character; Queer Men,https://lgbtqgamearchive.com/2016/08/30/gay-and-lesbian-characters-in-singles-flirt-up-your-life
group_or_non_character_subject,LGB NPCs,Fable; Fable II; Fable III,2004; 2008; 2010,LGB NPCs in Fable series,2000s; 2010s; Bisexual; Bisexual (explicit); Characters; Gay; Gay (explicit); Lesbian; Lesbian (explicit); Optional Relationship; Queer Men; Queer Women,https://lgbtqgamearchive.com/2015/08/28/lgb-npcs-in-fable-series
group_or_non_character_subject,Sex Workers,Fable; Fable II; Fable III,2004; 2008; 2010,Sex Workers in Fable series,2000s; 2010s; Bisexual; Bisexual (explicit); Optional Relationship; Queer Men; Queer Women; Sex Workers and Bisexuality,https://lgbtqgamearchive.com/2015/08/27/sex-workers-in-fable-series
